parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
beta_1	beta_1	lin	1e-06	100.0	1.0	1
beta_2	beta_2	lin	1e-06	100.0	1.0	1
beta_3	beta_3	lin	1e-06	100.0	1.0	1
beta_4	beta_4	lin	1e-06	100.0	1.0	1
beta_5	beta_5	lin	1e-06	100.0	1.0	1
beta_6	beta_6	lin	1e-06	100.0	1.0	1
beta_7	beta_7	lin	1e-06	100.0	1.0	1
beta_8	beta_8	lin	1e-06	100.0	1.0	1
beta_9	beta_9	lin	1e-06	100.0	1.0	1
beta_10	beta_10	lin	1e-06	100.0	1.0	1
beta_11	beta_11	lin	1e-06	100.0	1.0	1
beta_12	beta_12	lin	1e-06	100.0	1.0	1
beta_13	beta_13	lin	1e-06	100.0	1.0	1
beta_14	beta_14	lin	1e-06	100.0	1.0	1
beta_15	beta_15	lin	1e-06	100.0	1.0	1
beta_16	beta_16	lin	1e-06	100.0	1.0	1
beta_17	beta_17	lin	1e-06	100.0	1.0	1
beta_18	beta_18	lin	1e-06	100.0	1.0	1
beta_19	beta_19	lin	1e-06	100.0	1.0	1
beta_20	beta_20	lin	1e-06	100.0	1.0	1
beta_21	beta_21	lin	1e-06	100.0	1.0	1
beta_22	beta_22	lin	1e-06	100.0	1.0	1
beta_23	beta_23	lin	1e-06	100.0	1.0	1
beta_24	beta_24	lin	1e-06	100.0	1.0	1
beta_25	beta_25	lin	1e-06	100.0	1.0	1
beta_26	beta_26	lin	1e-06	100.0	1.0	1
beta_27	beta_27	lin	1e-06	100.0	1.0	1
beta_28	beta_28	lin	1e-06	100.0	1.0	1
beta_29	beta_29	lin	1e-06	100.0	1.0	1
beta_30	beta_30	lin	1e-06	100.0	1.0	1
beta_31	beta_31	lin	1e-06	100.0	1.0	1
beta_32	beta_32	lin	1e-06	100.0	1.0	1
beta_33	beta_33	lin	1e-06	100.0	1.0	1
beta_34	beta_34	lin	1e-06	100.0	1.0	1
beta_35	beta_35	lin	1e-06	100.0	1.0	1
beta_36	beta_36	lin	1e-06	100.0	1.0	1
beta_37	beta_37	lin	1e-06	100.0	1.0	1
beta_38	beta_38	lin	1e-06	100.0	1.0	1
beta_39	beta_39	lin	1e-06	100.0	1.0	1
beta_40	beta_40	lin	1e-06	100.0	1.0	1
beta_41	beta_41	lin	1e-06	100.0	1.0	1
beta_42	beta_42	lin	1e-06	100.0	1.0	1
beta_43	beta_43	lin	1e-06	100.0	1.0	1
beta_44	beta_44	lin	1e-06	100.0	1.0	1
beta_45	beta_45	lin	1e-06	100.0	1.0	1
beta_46	beta_46	lin	1e-06	100.0	1.0	1
beta_47	beta_47	lin	1e-06	100.0	1.0	1
beta_48	beta_48	lin	1e-06	100.0	1.0	1
beta_49	beta_49	lin	1e-06	100.0	1.0	1
beta_50	beta_50	lin	1e-06	100.0	1.0	1
beta_51	beta_51	lin	1e-06	100.0	1.0	1
beta_52	beta_52	lin	1e-06	100.0	1.0	1
beta_53	beta_53	lin	1e-06	100.0	1.0	1
beta_54	beta_54	lin	1e-06	100.0	1.0	1
beta_55	beta_55	lin	1e-06	100.0	1.0	1
beta_56	beta_56	lin	1e-06	100.0	1.0	1
beta_57	beta_57	lin	1e-06	100.0	1.0	1
beta_58	beta_58	lin	1e-06	100.0	1.0	1
beta_59	beta_59	lin	1e-06	100.0	1.0	1
beta_60	beta_60	lin	1e-06	100.0	1.0	1
beta_61	beta_61	lin	1e-06	100.0	1.0	1
beta_62	beta_62	lin	1e-06	100.0	1.0	1
beta_63	beta_63	lin	1e-06	100.0	1.0	1
beta_64	beta_64	lin	1e-06	100.0	1.0	1
beta_65	beta_65	lin	1e-06	100.0	1.0	1
beta_66	beta_66	lin	1e-06	100.0	1.0	1
beta_67	beta_67	lin	1e-06	100.0	1.0	1
beta_68	beta_68	lin	1e-06	100.0	1.0	1
beta_69	beta_69	lin	1e-06	100.0	1.0	1
beta_70	beta_70	lin	1e-06	100.0	1.0	1
beta_71	beta_71	lin	1e-06	100.0	1.0	1
beta_72	beta_72	lin	1e-06	100.0	1.0	1
beta_73	beta_73	lin	1e-06	100.0	1.0	1
beta_74	beta_74	lin	1e-06	100.0	1.0	1
beta_75	beta_75	lin	1e-06	100.0	1.0	1
beta_76	beta_76	lin	1e-06	100.0	1.0	1
beta_77	beta_77	lin	1e-06	100.0	1.0	1
beta_78	beta_78	lin	1e-06	100.0	1.0	1
beta_79	beta_79	lin	1e-06	100.0	1.0	1
beta_80	beta_80	lin	1e-06	100.0	1.0	1
beta_81	beta_81	lin	1e-06	100.0	1.0	1
beta_82	beta_82	lin	1e-06	100.0	1.0	1
beta_83	beta_83	lin	1e-06	100.0	1.0	1
beta_84	beta_84	lin	1e-06	100.0	1.0	1
beta_85	beta_85	lin	1e-06	100.0	1.0	1
beta_86	beta_86	lin	1e-06	100.0	1.0	1
beta_87	beta_87	lin	1e-06	100.0	1.0	1
beta_88	beta_88	lin	1e-06	100.0	1.0	1
beta_89	beta_89	lin	1e-06	100.0	1.0	1
beta_90	beta_90	lin	1e-06	100.0	1.0	1
beta_91	beta_91	lin	1e-06	100.0	1.0	1
beta_92	beta_92	lin	1e-06	100.0	1.0	1
beta_93	beta_93	lin	1e-06	100.0	1.0	1
beta_94	beta_94	lin	1e-06	100.0	1.0	1
beta_95	beta_95	lin	1e-06	100.0	1.0	1
beta_96	beta_96	lin	1e-06	100.0	1.0	1
beta_97	beta_97	lin	1e-06	100.0	1.0	1
beta_98	beta_98	lin	1e-06	100.0	1.0	1
beta_99	beta_99	lin	1e-06	100.0	1.0	1
beta_100	beta_100	lin	1e-06	100.0	1.0	1
gamma_1	gamma_1	lin	1e-06	100.0	1.0	1
gamma_2	gamma_2	lin	1e-06	100.0	1.0	1
gamma_3	gamma_3	lin	1e-06	100.0	1.0	1
gamma_4	gamma_4	lin	1e-06	100.0	1.0	1
gamma_5	gamma_5	lin	1e-06	100.0	1.0	1
gamma_6	gamma_6	lin	1e-06	100.0	1.0	1
gamma_7	gamma_7	lin	1e-06	100.0	1.0	1
gamma_8	gamma_8	lin	1e-06	100.0	1.0	1
gamma_9	gamma_9	lin	1e-06	100.0	1.0	1
gamma_10	gamma_10	lin	1e-06	100.0	1.0	1
gamma_11	gamma_11	lin	1e-06	100.0	1.0	1
gamma_12	gamma_12	lin	1e-06	100.0	1.0	1
gamma_13	gamma_13	lin	1e-06	100.0	1.0	1
gamma_14	gamma_14	lin	1e-06	100.0	1.0	1
gamma_15	gamma_15	lin	1e-06	100.0	1.0	1
gamma_16	gamma_16	lin	1e-06	100.0	1.0	1
gamma_17	gamma_17	lin	1e-06	100.0	1.0	1
gamma_18	gamma_18	lin	1e-06	100.0	1.0	1
gamma_19	gamma_19	lin	1e-06	100.0	1.0	1
gamma_20	gamma_20	lin	1e-06	100.0	1.0	1
gamma_21	gamma_21	lin	1e-06	100.0	1.0	1
gamma_22	gamma_22	lin	1e-06	100.0	1.0	1
gamma_23	gamma_23	lin	1e-06	100.0	1.0	1
gamma_24	gamma_24	lin	1e-06	100.0	1.0	1
gamma_25	gamma_25	lin	1e-06	100.0	1.0	1
gamma_26	gamma_26	lin	1e-06	100.0	1.0	1
gamma_27	gamma_27	lin	1e-06	100.0	1.0	1
gamma_28	gamma_28	lin	1e-06	100.0	1.0	1
gamma_29	gamma_29	lin	1e-06	100.0	1.0	1
gamma_30	gamma_30	lin	1e-06	100.0	1.0	1
gamma_31	gamma_31	lin	1e-06	100.0	1.0	1
gamma_32	gamma_32	lin	1e-06	100.0	1.0	1
gamma_33	gamma_33	lin	1e-06	100.0	1.0	1
gamma_34	gamma_34	lin	1e-06	100.0	1.0	1
gamma_35	gamma_35	lin	1e-06	100.0	1.0	1
gamma_36	gamma_36	lin	1e-06	100.0	1.0	1
gamma_37	gamma_37	lin	1e-06	100.0	1.0	1
gamma_38	gamma_38	lin	1e-06	100.0	1.0	1
gamma_39	gamma_39	lin	1e-06	100.0	1.0	1
gamma_40	gamma_40	lin	1e-06	100.0	1.0	1
gamma_41	gamma_41	lin	1e-06	100.0	1.0	1
gamma_42	gamma_42	lin	1e-06	100.0	1.0	1
gamma_43	gamma_43	lin	1e-06	100.0	1.0	1
gamma_44	gamma_44	lin	1e-06	100.0	1.0	1
gamma_45	gamma_45	lin	1e-06	100.0	1.0	1
gamma_46	gamma_46	lin	1e-06	100.0	1.0	1
gamma_47	gamma_47	lin	1e-06	100.0	1.0	1
gamma_48	gamma_48	lin	1e-06	100.0	1.0	1
gamma_49	gamma_49	lin	1e-06	100.0	1.0	1
gamma_50	gamma_50	lin	1e-06	100.0	1.0	1
gamma_51	gamma_51	lin	1e-06	100.0	1.0	1
gamma_52	gamma_52	lin	1e-06	100.0	1.0	1
gamma_53	gamma_53	lin	1e-06	100.0	1.0	1
gamma_54	gamma_54	lin	1e-06	100.0	1.0	1
gamma_55	gamma_55	lin	1e-06	100.0	1.0	1
gamma_56	gamma_56	lin	1e-06	100.0	1.0	1
gamma_57	gamma_57	lin	1e-06	100.0	1.0	1
gamma_58	gamma_58	lin	1e-06	100.0	1.0	1
gamma_59	gamma_59	lin	1e-06	100.0	1.0	1
gamma_60	gamma_60	lin	1e-06	100.0	1.0	1
gamma_61	gamma_61	lin	1e-06	100.0	1.0	1
gamma_62	gamma_62	lin	1e-06	100.0	1.0	1
gamma_63	gamma_63	lin	1e-06	100.0	1.0	1
gamma_64	gamma_64	lin	1e-06	100.0	1.0	1
gamma_65	gamma_65	lin	1e-06	100.0	1.0	1
gamma_66	gamma_66	lin	1e-06	100.0	1.0	1
gamma_67	gamma_67	lin	1e-06	100.0	1.0	1
gamma_68	gamma_68	lin	1e-06	100.0	1.0	1
gamma_69	gamma_69	lin	1e-06	100.0	1.0	1
gamma_70	gamma_70	lin	1e-06	100.0	1.0	1
gamma_71	gamma_71	lin	1e-06	100.0	1.0	1
gamma_72	gamma_72	lin	1e-06	100.0	1.0	1
gamma_73	gamma_73	lin	1e-06	100.0	1.0	1
gamma_74	gamma_74	lin	1e-06	100.0	1.0	1
gamma_75	gamma_75	lin	1e-06	100.0	1.0	1
gamma_76	gamma_76	lin	1e-06	100.0	1.0	1
gamma_77	gamma_77	lin	1e-06	100.0	1.0	1
gamma_78	gamma_78	lin	1e-06	100.0	1.0	1
gamma_79	gamma_79	lin	1e-06	100.0	1.0	1
gamma_80	gamma_80	lin	1e-06	100.0	1.0	1
gamma_81	gamma_81	lin	1e-06	100.0	1.0	1
gamma_82	gamma_82	lin	1e-06	100.0	1.0	1
gamma_83	gamma_83	lin	1e-06	100.0	1.0	1
gamma_84	gamma_84	lin	1e-06	100.0	1.0	1
gamma_85	gamma_85	lin	1e-06	100.0	1.0	1
gamma_86	gamma_86	lin	1e-06	100.0	1.0	1
gamma_87	gamma_87	lin	1e-06	100.0	1.0	1
gamma_88	gamma_88	lin	1e-06	100.0	1.0	1
gamma_89	gamma_89	lin	1e-06	100.0	1.0	1
gamma_90	gamma_90	lin	1e-06	100.0	1.0	1
gamma_91	gamma_91	lin	1e-06	100.0	1.0	1
gamma_92	gamma_92	lin	1e-06	100.0	1.0	1
gamma_93	gamma_93	lin	1e-06	100.0	1.0	1
gamma_94	gamma_94	lin	1e-06	100.0	1.0	1
gamma_95	gamma_95	lin	1e-06	100.0	1.0	1
gamma_96	gamma_96	lin	1e-06	100.0	1.0	1
gamma_97	gamma_97	lin	1e-06	100.0	1.0	1
gamma_98	gamma_98	lin	1e-06	100.0	1.0	1
gamma_99	gamma_99	lin	1e-06	100.0	1.0	1
gamma_100	gamma_100	lin	1e-06	100.0	1.0	1
k_1	k_1	lin	1e-06	100.0	1.0	1
k_2	k_2	lin	1e-06	100.0	1.0	1
k_3	k_3	lin	1e-06	100.0	1.0	1
k_4	k_4	lin	1e-06	100.0	1.0	1
k_5	k_5	lin	1e-06	100.0	1.0	1
k_6	k_6	lin	1e-06	100.0	1.0	1
k_7	k_7	lin	1e-06	100.0	1.0	1
k_8	k_8	lin	1e-06	100.0	1.0	1
k_9	k_9	lin	1e-06	100.0	1.0	1
k_10	k_10	lin	1e-06	100.0	1.0	1
k_11	k_11	lin	1e-06	100.0	1.0	1
k_12	k_12	lin	1e-06	100.0	1.0	1
k_13	k_13	lin	1e-06	100.0	1.0	1
k_14	k_14	lin	1e-06	100.0	1.0	1
k_15	k_15	lin	1e-06	100.0	1.0	1
k_16	k_16	lin	1e-06	100.0	1.0	1
k_17	k_17	lin	1e-06	100.0	1.0	1
k_18	k_18	lin	1e-06	100.0	1.0	1
k_19	k_19	lin	1e-06	100.0	1.0	1
k_20	k_20	lin	1e-06	100.0	1.0	1
k_21	k_21	lin	1e-06	100.0	1.0	1
k_22	k_22	lin	1e-06	100.0	1.0	1
k_23	k_23	lin	1e-06	100.0	1.0	1
k_24	k_24	lin	1e-06	100.0	1.0	1
k_25	k_25	lin	1e-06	100.0	1.0	1
k_26	k_26	lin	1e-06	100.0	1.0	1
k_27	k_27	lin	1e-06	100.0	1.0	1
k_28	k_28	lin	1e-06	100.0	1.0	1
k_29	k_29	lin	1e-06	100.0	1.0	1
k_30	k_30	lin	1e-06	100.0	1.0	1
k_31	k_31	lin	1e-06	100.0	1.0	1
k_32	k_32	lin	1e-06	100.0	1.0	1
k_33	k_33	lin	1e-06	100.0	1.0	1
k_34	k_34	lin	1e-06	100.0	1.0	1
k_35	k_35	lin	1e-06	100.0	1.0	1
k_36	k_36	lin	1e-06	100.0	1.0	1
k_37	k_37	lin	1e-06	100.0	1.0	1
k_38	k_38	lin	1e-06	100.0	1.0	1
k_39	k_39	lin	1e-06	100.0	1.0	1
k_40	k_40	lin	1e-06	100.0	1.0	1
k_41	k_41	lin	1e-06	100.0	1.0	1
k_42	k_42	lin	1e-06	100.0	1.0	1
k_43	k_43	lin	1e-06	100.0	1.0	1
k_44	k_44	lin	1e-06	100.0	1.0	1
k_45	k_45	lin	1e-06	100.0	1.0	1
k_46	k_46	lin	1e-06	100.0	1.0	1
k_47	k_47	lin	1e-06	100.0	1.0	1
k_48	k_48	lin	1e-06	100.0	1.0	1
k_49	k_49	lin	1e-06	100.0	1.0	1
k_50	k_50	lin	1e-06	100.0	1.0	1
k_51	k_51	lin	1e-06	100.0	1.0	1
k_52	k_52	lin	1e-06	100.0	1.0	1
k_53	k_53	lin	1e-06	100.0	1.0	1
k_54	k_54	lin	1e-06	100.0	1.0	1
k_55	k_55	lin	1e-06	100.0	1.0	1
k_56	k_56	lin	1e-06	100.0	1.0	1
k_57	k_57	lin	1e-06	100.0	1.0	1
k_58	k_58	lin	1e-06	100.0	1.0	1
k_59	k_59	lin	1e-06	100.0	1.0	1
k_60	k_60	lin	1e-06	100.0	1.0	1
k_61	k_61	lin	1e-06	100.0	1.0	1
k_62	k_62	lin	1e-06	100.0	1.0	1
k_63	k_63	lin	1e-06	100.0	1.0	1
k_64	k_64	lin	1e-06	100.0	1.0	1
k_65	k_65	lin	1e-06	100.0	1.0	1
k_66	k_66	lin	1e-06	100.0	1.0	1
k_67	k_67	lin	1e-06	100.0	1.0	1
k_68	k_68	lin	1e-06	100.0	1.0	1
k_69	k_69	lin	1e-06	100.0	1.0	1
k_70	k_70	lin	1e-06	100.0	1.0	1
k_71	k_71	lin	1e-06	100.0	1.0	1
k_72	k_72	lin	1e-06	100.0	1.0	1
k_73	k_73	lin	1e-06	100.0	1.0	1
k_74	k_74	lin	1e-06	100.0	1.0	1
k_75	k_75	lin	1e-06	100.0	1.0	1
k_76	k_76	lin	1e-06	100.0	1.0	1
k_77	k_77	lin	1e-06	100.0	1.0	1
k_78	k_78	lin	1e-06	100.0	1.0	1
k_79	k_79	lin	1e-06	100.0	1.0	1
k_80	k_80	lin	1e-06	100.0	1.0	1
k_81	k_81	lin	1e-06	100.0	1.0	1
k_82	k_82	lin	1e-06	100.0	1.0	1
k_83	k_83	lin	1e-06	100.0	1.0	1
k_84	k_84	lin	1e-06	100.0	1.0	1
k_85	k_85	lin	1e-06	100.0	1.0	1
k_86	k_86	lin	1e-06	100.0	1.0	1
k_87	k_87	lin	1e-06	100.0	1.0	1
k_88	k_88	lin	1e-06	100.0	1.0	1
k_89	k_89	lin	1e-06	100.0	1.0	1
k_90	k_90	lin	1e-06	100.0	1.0	1
k_91	k_91	lin	1e-06	100.0	1.0	1
k_92	k_92	lin	1e-06	100.0	1.0	1
k_93	k_93	lin	1e-06	100.0	1.0	1
k_94	k_94	lin	1e-06	100.0	1.0	1
k_95	k_95	lin	1e-06	100.0	1.0	1
k_96	k_96	lin	1e-06	100.0	1.0	1
k_97	k_97	lin	1e-06	100.0	1.0	1
k_98	k_98	lin	1e-06	100.0	1.0	1
k_99	k_99	lin	1e-06	100.0	1.0	1
k_100	k_100	lin	1e-06	100.0	1.0	1
delta_1	delta_1	lin	1e-06	100.0	1.0	1
delta_2	delta_2	lin	1e-06	100.0	1.0	1
delta_3	delta_3	lin	1e-06	100.0	1.0	1
delta_4	delta_4	lin	1e-06	100.0	1.0	1
delta_5	delta_5	lin	1e-06	100.0	1.0	1
delta_6	delta_6	lin	1e-06	100.0	1.0	1
delta_7	delta_7	lin	1e-06	100.0	1.0	1
delta_8	delta_8	lin	1e-06	100.0	1.0	1
delta_9	delta_9	lin	1e-06	100.0	1.0	1
delta_10	delta_10	lin	1e-06	100.0	1.0	1
delta_11	delta_11	lin	1e-06	100.0	1.0	1
delta_12	delta_12	lin	1e-06	100.0	1.0	1
delta_13	delta_13	lin	1e-06	100.0	1.0	1
delta_14	delta_14	lin	1e-06	100.0	1.0	1
delta_15	delta_15	lin	1e-06	100.0	1.0	1
delta_16	delta_16	lin	1e-06	100.0	1.0	1
delta_17	delta_17	lin	1e-06	100.0	1.0	1
delta_18	delta_18	lin	1e-06	100.0	1.0	1
delta_19	delta_19	lin	1e-06	100.0	1.0	1
delta_20	delta_20	lin	1e-06	100.0	1.0	1
delta_21	delta_21	lin	1e-06	100.0	1.0	1
delta_22	delta_22	lin	1e-06	100.0	1.0	1
delta_23	delta_23	lin	1e-06	100.0	1.0	1
delta_24	delta_24	lin	1e-06	100.0	1.0	1
delta_25	delta_25	lin	1e-06	100.0	1.0	1
delta_26	delta_26	lin	1e-06	100.0	1.0	1
delta_27	delta_27	lin	1e-06	100.0	1.0	1
delta_28	delta_28	lin	1e-06	100.0	1.0	1
delta_29	delta_29	lin	1e-06	100.0	1.0	1
delta_30	delta_30	lin	1e-06	100.0	1.0	1
delta_31	delta_31	lin	1e-06	100.0	1.0	1
delta_32	delta_32	lin	1e-06	100.0	1.0	1
delta_33	delta_33	lin	1e-06	100.0	1.0	1
delta_34	delta_34	lin	1e-06	100.0	1.0	1
delta_35	delta_35	lin	1e-06	100.0	1.0	1
delta_36	delta_36	lin	1e-06	100.0	1.0	1
delta_37	delta_37	lin	1e-06	100.0	1.0	1
delta_38	delta_38	lin	1e-06	100.0	1.0	1
delta_39	delta_39	lin	1e-06	100.0	1.0	1
delta_40	delta_40	lin	1e-06	100.0	1.0	1
delta_41	delta_41	lin	1e-06	100.0	1.0	1
delta_42	delta_42	lin	1e-06	100.0	1.0	1
delta_43	delta_43	lin	1e-06	100.0	1.0	1
delta_44	delta_44	lin	1e-06	100.0	1.0	1
delta_45	delta_45	lin	1e-06	100.0	1.0	1
delta_46	delta_46	lin	1e-06	100.0	1.0	1
delta_47	delta_47	lin	1e-06	100.0	1.0	1
delta_48	delta_48	lin	1e-06	100.0	1.0	1
delta_49	delta_49	lin	1e-06	100.0	1.0	1
delta_50	delta_50	lin	1e-06	100.0	1.0	1
